procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 3316680  27364 245052    0    0    25   342  606 1484 57 41  3  0  0 2019-10-29 01:30:13
 1  0      0 3324208  27372 245048    0    0     0    10  278   70 55 45  0  0  0 2019-10-29 01:30:18
 1  0      0 3324240  27372 245044    0    0     0     0  274   58 54 46  0  0  0 2019-10-29 01:30:23
 1  0      0 3324240  27380 245040    0    0     0     2  275   64 55 45  0  0  0 2019-10-29 01:30:28
 1  0      0 3324256  27388 245048    0    0     0    15  277   61 58 42  0  0  0 2019-10-29 01:30:33
 1  0      0 3324264  27388 245048    0    0     0     0  274   58 56 44  0  0  0 2019-10-29 01:30:38
 1  0      0 3324264  27396 245044    0    0     0    16  276   61 59 41  0  0  0 2019-10-29 01:30:43
 1  0      0 3324256  27404 245048    0    0     0    10  278   68 55 45  0  0  0 2019-10-29 01:30:48
 1  0      0 3324296  27412 245048    0    0     0     2  277   66 55 45  0  0  0 2019-10-29 01:30:53
 1  0      0 3324304  27412 245040    0    0     0     0  275   61 53 47  0  0  0 2019-10-29 01:30:58
 1  0      0 3324436  27420 245044    0    0     0     6  277   66 56 44  0  0  0 2019-10-29 01:31:03
 1  0      0 3324568  27428 245044    0    0     0     2  275   61 57 43  0  0  0 2019-10-29 01:31:08
 1  0      0 3324528  27428 245044    0    0     0     1  276   91 57 43  0  0  0 2019-10-29 01:31:13
 1  0      0 3324536  27436 245040    0    0     0    16  276   63 56 44  0  0  0 2019-10-29 01:31:18
 1  0      0 3324552  27444 245044    0    0     0     3  276   60 59 41  0  0  0 2019-10-29 01:31:23
 1  0      0 3324644  27452 245036    0    0     0    30  286  119 54 46  0  0  0 2019-10-29 01:31:28
 1  0      0 3324684  27460 245032    0    0     0     9  277   63 56 44  0  0  0 2019-10-29 01:31:33
 1  0      0 3324692  27468 245028    0    0     0     2  275   61 55 45  0  0  0 2019-10-29 01:31:38
 1  0      0 3324708  27468 245020    0    0     0     0  274   57 53 47  0  0  0 2019-10-29 01:31:43
 1  0      0 3324716  27476 245020    0    0     0     2  276   61 58 42  0  0  0 2019-10-29 01:31:48
 1  0      0 3324716  27484 245020    0    0     0     2  275   59 56 44  0  0  0 2019-10-29 01:31:53
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 3324468  27484 245024    0    0     0     2  277   66 56 44  0  0  0 2019-10-29 01:31:58
 1  0      0 3324468  27492 245024    0    0     0    10  277   64 56 44  0  0  0 2019-10-29 01:32:03
 1  0      0 3324468  27500 245028    0    0     0     2  275   60 56 44  0  0  0 2019-10-29 01:32:08
 1  0      0 3324468  27500 245032    0    0     0     5  274   57 59 41  0  0  0 2019-10-29 01:32:13
 1  0      0 3324460  27508 245032    0    0     0    11  277   94 56 44  0  0  0 2019-10-29 01:32:18
 1  0      0 3324468  27516 245032    0    0     0     7  275   58 57 43  0  0  0 2019-10-29 01:32:23
 1  0      0 3324476  27516 245024    0    0     0     0  275   59 56 44  0  0  0 2019-10-29 01:32:28
 1  0      0 3324484  27524 245024    0    0     0     2  277   61 56 44  0  0  0 2019-10-29 01:32:33
 1  0      0 3324492  27532 245024    0    0     0     2  275   60 55 45  0  0  0 2019-10-29 01:32:38
 1  0      0 3324500  27532 245024    0    0     0     0  274   57 55 45  0  0  0 2019-10-29 01:32:43
 1  0      0 3324500  27540 245024    0    0     0     2  276   61 57 43  0  0  0 2019-10-29 01:32:48
 1  0      0 3324500  27548 245028    0    0     0     6  275   59 56 44  0  0  0 2019-10-29 01:32:53
 3  0      0 3283708  27548 245184    0    0     0     6  285  470 59 41  0  0  0 2019-10-29 01:32:58
 2  0      0 3262752  27556 245188    0    0     0    18  296  537 64 36  0  0  0 2019-10-29 01:33:03
 2  0      0 3209276  27564 245212    0    0     0     3  305  772 60 40  0  0  0 2019-10-29 01:33:08
 1  0      0 3173504  27572 245208    0    0     0     8  305  352 61 39  0  0  0 2019-10-29 01:33:13
 1  0      0 3173504  27580 245196    0    0     0     3  299  110 55 45  0  0  0 2019-10-29 01:33:18
 1  0      0 3173504  27580 245188    0    0     0     3  298  104 56 44  0  0  0 2019-10-29 01:33:23
 2  0      0 3113000  27588 245204    0    0     0     4  379  361 57 43  0  0  0 2019-10-29 01:33:28
 3  0      0 2831292  27596 491000    0    0     0 24302  878 6629 56 44  0  0  0 2019-10-29 01:33:33
 3  0      0 2749352  27604 491208    0    0     0    34  297  414 61 39  0  0  0 2019-10-29 01:33:38
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 2636492  27612 525720    0    0     0  6722  311  510 65 35  0  0  0 2019-10-29 01:33:43
 3  0      0 2611056  27620 527232    0    0     0    16  288  349 64 36  0  0  0 2019-10-29 01:33:48
 2  0      0 2606112  27628 531912    0    0     0     6  295  463 66 34  0  0  0 2019-10-29 01:33:53
 3  0      0 2588592  27636 537648    0    0     0     3  302  319 65 35  0  0  0 2019-10-29 01:33:58
 2  0      0 2592660  27644 541916    0    0     0    42  302  255 65 35  0  0  0 2019-10-29 01:34:03
 1  0      0 2592288  27652 541916    0    0     0 24251  390  234 55 45  0  0  0 2019-10-29 01:34:08
 1  0      0 2592452  27660 541916    0    0     0     3  300  112 57 43  0  0  0 2019-10-29 01:34:13
 1  0      0 2592616  27668 541916    0    0     0     2  302  118 56 44  0  0  0 2019-10-29 01:34:18
 1  0      0 2592624  27668 541912    0    0     0     2  300  108 56 44  0  0  0 2019-10-29 01:34:23
 1  0      0 2592624  27676 541912    0    0     0     2  300  111 56 44  0  0  0 2019-10-29 01:34:28
 1  0      0 2592524  27684 541920    0    0     0     6  305  145 56 44  0  0  0 2019-10-29 01:34:33
 1  0      0 2592648  27692 541916    0    0     0  3139  309  113 54 46  0  0  0 2019-10-29 01:34:38
 1  0      0 2592664  27692 541916    0    0     0    19  300  107 57 43  0  0  0 2019-10-29 01:34:43
 1  0      0 2592704  27700 541916    0    0     0     2  300  111 57 43  0  0  0 2019-10-29 01:34:48
 1  0      0 2592712  27708 541912    0    0     0     6  300  108 54 46  0  0  0 2019-10-29 01:34:53
 1  0      0 2592720  27716 541908    0    0     0     2  299  111 57 43  0  0  0 2019-10-29 01:34:58
 3  0      0 2564504  27716 541916    0    0     0     3  339  329 60 40  0  0  0 2019-10-29 01:35:03
 2  0      0 2538096  27724 541976    0    0    12     9  304  340 61 39  0  0  0 2019-10-29 01:35:08
 1  0      0 2537980  27732 541984    0    0     0    10  287  113 60 40  0  0  0 2019-10-29 01:35:13
 1  0      0 2537980  27740 541984    0    0     0    23  283   95 54 46  0  0  0 2019-10-29 01:35:18
 1  0      0 2538268  27748 541984    0    0     0     7  296  102 60 40  0  0  0 2019-10-29 01:35:23
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
