procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 3217532  27668 205996    0    0     0     2  300  348 55 45  0  0  0 2019-10-29 01:35:02
 5  0      0 3151408  27676 261212    0    0     0    42  710 3295 60 40  0  0  0 2019-10-29 01:35:07
 4  0      0 3014208  27684 393660    0    0     0 24236  840 3729 53 47  0  0  0 2019-10-29 01:35:12
 5  0      0 2935524  27692 453604    0    0     0     5  302  466 56 44  0  0  0 2019-10-29 01:35:17
 5  0      0 2908408  27692 453644    0    0     0    19  302  452 56 44  0  0  0 2019-10-29 01:35:22
 5  0      0 2831992  27700 453644    0    0     0    14  349  480 59 41  0  0  0 2019-10-29 01:35:27
 5  0      0 2768784  27708 453636    0    0     0     6  299  364 58 42  0  0  0 2019-10-29 01:35:32
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 2765004  27716 453640    0    0     0     9  305  426 58 42  0  0  0 2019-10-29 01:35:37
 4  0      0 2771956  27724 453640    0    0     0    41  302  365 59 41  0  0  0 2019-10-29 01:35:42
 3  0      0 2771708  27732 453640    0    0     0 24232  390  399 57 43  0  0  0 2019-10-29 01:35:47
 3  0      0 2771608  27732 453640    0    0     0     0  300  351 56 44  0  0  0 2019-10-29 01:35:52
 3  0      0 2771616  27740 453644    0    0     0    26  300  332 55 45  0  0  0 2019-10-29 01:35:57
 3  0      0 2771624  27748 453640    0    0     0     3  301  335 56 44  0  0  0 2019-10-29 01:36:02
 3  0      0 2771632  27756 453636    0    0     0     2  298  331 54 46  0  0  0 2019-10-29 01:36:07
 3  0      0 2771680  27764 453640    0    0     0     3  302  335 56 44  0  0  0 2019-10-29 01:36:12
 3  0      0 2771688  27764 453640    0    0     0     6  299  332 56 44  0  0  0 2019-10-29 01:36:17
 5  0      0 2772852  27772 453644    0    0     0     2  322  445 57 43  0  0  0 2019-10-29 01:36:22
 4  0      0 2758444  27780 466040    0    0     0   376  322  547 60 40  0  0  0 2019-10-29 01:36:27
 5  0      0 2732040  27788 488176    0    0     0  6382  338  481 61 39  0  0  0 2019-10-29 01:36:32
 6  0      0 2708504  27796 488188    0    0     0    14  326  601 60 40  0  0  0 2019-10-29 01:36:37
 5  0      0 2692372  27804 488188    0    0     0    12  335  590 59 41  0  0  0 2019-10-29 01:36:42
 4  0      0 2688336  27812 488204    0    0     0    18  423  849 59 41  0  0  0 2019-10-29 01:36:47
 4  0      0 2688820  27820 488220    0    0     0    15  452  863 61 39  0  0  0 2019-10-29 01:36:52
 4  0      0 2687072  27828 488236    0    0     0    16  479  936 58 42  0  0  0 2019-10-29 01:36:57
 4  0      0 2649532  27836 488256    0    0     0    13  478  997 60 40  0  0  0 2019-10-29 01:37:02
 5  0      0 2644120  27844 488272    0    0     0    52  519 1120 62 38  0  0  0 2019-10-29 01:37:07
 4  0      0 2650428  27852 488300    0    0     0    15  524 1138 59 41  0  0  0 2019-10-29 01:37:12
 5  0      0 2649476  27860 488324    0    0     0    20  547 1155 62 38  0  0  0 2019-10-29 01:37:17
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 2648088  27868 488344    0    0     0    10  527 1148 60 40  0  0  0 2019-10-29 01:37:22
 5  0      0 2640256  27876 488356    0    0     0     9  557 1233 59 41  0  0  0 2019-10-29 01:37:27
 7  0      0 2638840  27884 488376    0    0     0    26  581 1317 59 41  0  0  0 2019-10-29 01:37:32
 5  0      0 2637788  27884 488408    0    0     0     0  563 1296 62 38  0  0  0 2019-10-29 01:37:37
 7  0      0 2637444  27892 488420    0    0     0    31  599 1364 61 39  0  0  0 2019-10-29 01:37:42
 5  0      0 2632328  27908 488456    0    0     0    26  648 1481 60 40  0  0  0 2019-10-29 01:37:47
 4  0      0 2631592  27916 488472    0    0     0    10  601 1335 61 39  0  0  0 2019-10-29 01:37:52
 4  0      0 2631096  27924 488492    0    0     0     3  627 1449 59 41  0  0  0 2019-10-29 01:37:57
 4  0      0 2630256  27932 488512    0    0     0    29  600 1419 58 42  0  0  0 2019-10-29 01:38:02
 5  0      0 2632432  27940 488536    0    0     0     5  620 1448 60 40  0  0  0 2019-10-29 01:38:07
 5  0      0 2631672  27948 488556    0    0     0     3  638 1499 60 40  0  0  0 2019-10-29 01:38:12
 4  0      0 2631456  27956 488576    0    0     0    36  621 1354 58 42  0  0  0 2019-10-29 01:38:17
 5  0      0 2635740  27964 488600    0    0     0     4  646 1506 56 44  0  0  0 2019-10-29 01:38:22
 5  0      0 2635644  27972 488620    0    0     0     3  615 1470 61 39  0  0  0 2019-10-29 01:38:27
 6  0      0 2635312  27980 488644    0    0     0    30  618 1476 60 40  0  0  0 2019-10-29 01:38:32
 6  0      0 2635568  27988 488668    0    0     0     5  646 1573 59 41  0  0  0 2019-10-29 01:38:37
 5  0      0 2635768  27996 488696    0    0     0     3  681 1605 60 40  0  0  0 2019-10-29 01:38:42
 5  0      0 2635144  28004 488720    0    0     0     9  644 1588 59 41  0  0  0 2019-10-29 01:38:47
 4  0      0 2632240  28012 488744    0    0     0     7  634 1585 58 42  0  0  0 2019-10-29 01:38:52
 5  0      0 2632340  28020 488772    0    0     0     4  650 1599 58 42  0  0  0 2019-10-29 01:38:57
 4  0      0 2624304  28028 488796    0    0     0     3  579 1324 59 41  0  0  0 2019-10-29 01:39:02
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0 2624756  28036 488832    0    0     0    35  692 1673 59 41  0  0  0 2019-10-29 01:39:07
 5  0      0 2624700  28044 488856    0    0     0     3  625 1539 60 40  0  0  0 2019-10-29 01:39:12
 4  0      0 2624896  28052 488872    0    0     0     3  661 1650 61 39  0  0  0 2019-10-29 01:39:17
 4  0      0 2624740  28060 488912    0    0     0    39  634 1580 61 39  0  0  0 2019-10-29 01:39:22
 5  0      0 2625024  28068 488940    0    0     0     3  701 1737 57 43  0  0  0 2019-10-29 01:39:27
 5  0      0 2625040  28076 488960    0    0     0     3  617 1594 62 38  0  0  0 2019-10-29 01:39:32
 4  0      0 2625528  28084 488988    0    0     0     3  719 1788 60 40  0  0  0 2019-10-29 01:39:37
 4  0      0 2622500  28092 489012    0    0     0     3  613 1571 58 42  0  0  0 2019-10-29 01:39:42
 4  0      0 2623368  28100 489044    0    0     0     3  732 1849 62 38  0  0  0 2019-10-29 01:39:47
 7  0      0 2623760  28108 489084    0    0     0    45  694 1795 59 41  0  0  0 2019-10-29 01:39:52
 5  0      0 2624720  28116 489112    0    0     0    16  713 1860 62 38  0  0  0 2019-10-29 01:39:57
 5  0      0 2621940  28124 489148    0    0     0     3  674 1749 61 39  0  0  0 2019-10-29 01:40:02
 7  0      0 2622812  28132 489164    0    0     0     3  701 1796 60 40  0  0  0 2019-10-29 01:40:07
 4  0      0 2623488  28140 489196    0    0     0     3  700 1798 61 39  0  0  0 2019-10-29 01:40:12
 5  0      0 2624512  28140 489228    0    0     0     0  705 1871 62 38  0  0  0 2019-10-29 01:40:17
 5  0      0 2623952  28148 489256    0    0     0    46  621 1530 58 42  0  0  0 2019-10-29 01:40:22
 8  0      0 2621460  28156 489288    0    0     0     5  678 1821 58 42  0  0  0 2019-10-29 01:40:27
 5  0      0 2622332  28164 489320    0    0     0     8  744 1948 60 40  0  0  0 2019-10-29 01:40:32
 5  0      0 2623048  28172 489348    0    0     0     8  700 1803 58 42  0  0  0 2019-10-29 01:40:37
 3  0      0 2620948  28180 489388    0    0     0     3  736 1964 60 40  0  0  0 2019-10-29 01:40:42
 4  0      0 2622016  28188 489428    0    0     0     3  747 1930 59 41  0  0  0 2019-10-29 01:40:47
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 2623156  28196 489488    0    0     0    46  720 1919 57 43  0  0  0 2019-10-29 01:40:52
 4  0      0 2621108  28204 489528    0    0     0     5  713 1850 59 41  0  0  0 2019-10-29 01:40:57
 5  0      0 2622292  28212 489572    0    0     0     5  735 1875 57 43  0  0  0 2019-10-29 01:41:02
 4  0      0 2620248  28220 489612    0    0     0    15  725 1932 60 40  0  0  0 2019-10-29 01:41:07
 4  0      0 2620576  28228 489664    0    0     0     3  698 1791 58 42  0  0  0 2019-10-29 01:41:12
 3  0      0 2621352  28236 489712    0    0     0    44  671 1776 59 41  0  0  0 2019-10-29 01:41:17
 4  0      0 2622664  28244 489748    0    0     0     5  748 1970 57 43  0  0  0 2019-10-29 01:41:22
 5  0      0 2620520  28252 489788    0    0     0     3  703 1809 59 41  0  0  0 2019-10-29 01:41:27
 4  0      0 2621324  28260 489828    0    0     0     3  704 1773 60 40  0  0  0 2019-10-29 01:41:32
 4  0      0 2619380  28268 489872    0    0     0     3  788 2032 60 40  0  0  0 2019-10-29 01:41:37
 3  0      0 2620248  28276 489924    0    0     0     8  752 2023 59 41  0  0  0 2019-10-29 01:41:42
 3  0      0 2621728  28284 489976    0    0     0    50  770 2005 59 41  0  0  0 2019-10-29 01:41:47
 3  0      0 2620208  28292 490028    0    0     0    14  791 2061 58 42  0  0  0 2019-10-29 01:41:52
 6  0      0 2621560  28300 490076    0    0     0     3  745 1931 56 44  0  0  0 2019-10-29 01:41:57
 4  0      0 2619496  28308 490116    0    0     0     3  764 1913 57 43  0  0  0 2019-10-29 01:42:02
 5  0      0 2621000  28316 490160    0    0     0     3  792 2026 59 41  0  0  0 2019-10-29 01:42:07
 4  0      0 2618984  28324 490208    0    0     0     3  725 1894 60 40  0  0  0 2019-10-29 01:42:12
 4  0      0 2620364  28332 490264    0    0     0    50  784 2047 58 42  0  0  0 2019-10-29 01:42:17
 4  0      0 2618892  28340 490308    0    0     0     5  808 2097 56 44  0  0  0 2019-10-29 01:42:22
 4  0      0 2619960  28348 490368    0    0     0     8  747 1996 61 39  0  0  0 2019-10-29 01:42:27
 5  0      0 2618328  28356 490408    0    0     0     6  788 2033 59 41  0  0  0 2019-10-29 01:42:32
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 6  0      0 2619768  28364 490456    0    0     0     3  766 1976 61 39  0  0  0 2019-10-29 01:42:37
 5  0      0 2620860  28372 490496    0    0     0     3  719 1917 57 43  0  0  0 2019-10-29 01:42:42
 5  0      0 2618732  28380 490556    0    0     0     3  758 2043 59 41  0  0  0 2019-10-29 01:42:47
 6  0      0 2619876  28388 490596    0    0     0    58  695 1813 61 39  0  0  0 2019-10-29 01:42:52
 5  0      0 2618156  28396 490644    0    0     0     3  740 1943 59 41  0  0  0 2019-10-29 01:42:57
 4  0      0 2617904  28404 490688    0    0     0     6  766 2040 61 39  0  0  0 2019-10-29 01:43:02
 4  0      0 2615832  28412 490736    0    0     0    14  791 2115 60 40  0  0  0 2019-10-29 01:43:07
 4  0      0 2616936  28420 490788    0    0     0     3  746 1981 58 42  0  0  0 2019-10-29 01:43:12
 5  0      0 2615052  28428 490836    0    0     0    49  770 2049 61 39  0  0  0 2019-10-29 01:43:17
 4  0      0 2616496  28436 490888    0    0     0     3  782 2050 59 41  0  0  0 2019-10-29 01:43:22
 3  0      0 2614580  28444 490928    0    0     0     3  750 1958 60 40  0  0  0 2019-10-29 01:43:27
 4  0      0 2616084  28452 490980    0    0     0    34  765 2041 59 41  0  0  0 2019-10-29 01:43:32
 4  0      0 2617048  28460 491024    0    0     0     3  757 1991 60 40  0  0  0 2019-10-29 01:43:37
 3  0      0 2615424  28468 491068    0    0     0     3  749 2026 59 41  0  0  0 2019-10-29 01:43:42
 5  0      0 2617152  28476 491124    0    0     0    35  774 2111 58 42  0  0  0 2019-10-29 01:43:47
 4  0      0 2615584  28484 491176    0    0     0     3  770 2060 57 43  0  0  0 2019-10-29 01:43:52
 5  0      0 2616648  28492 491220    0    0     0     3  757 2088 59 41  0  0  0 2019-10-29 01:43:57
 4  0      0 2615060  28500 491272    0    0     0     8  772 2070 60 40  0  0  0 2019-10-29 01:44:02
 4  0      0 2616512  28508 491316    0    0     0     3  740 1965 56 44  0  0  0 2019-10-29 01:44:07
 3  0      0 2614856  28516 491364    0    0     0     3  742 1933 58 42  0  0  0 2019-10-29 01:44:12
 3  0      0 2616720  28524 491424    0    0     0    54  778 2129 57 43  0  0  0 2019-10-29 01:44:17
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 2615448  28532 491476    0    0     0    14  801 2130 58 42  0  0  0 2019-10-29 01:44:22
 5  0      0 2613660  28540 491528    0    0     0     3  741 2005 57 43  0  0  0 2019-10-29 01:44:27
 4  0      0 2615136  28548 491564    0    0     0     3  760 2054 59 41  0  0  0 2019-10-29 01:44:32
 4  0      0 2613764  28556 491616    0    0     0     3  793 2128 61 39  0  0  0 2019-10-29 01:44:37
 4  0      0 2615396  28564 491672    0    0     0     3  748 2103 57 43  0  0  0 2019-10-29 01:44:42
 4  0      0 2613704  28572 491724    0    0     0    56  748 2016 59 41  0  0  0 2019-10-29 01:44:47
 4  0      0 2615376  28580 491772    0    0     0     4  801 2179 58 42  0  0  0 2019-10-29 01:44:52
 6  0      0 2614160  28588 491832    0    0     0     9  807 2186 60 40  0  0  0 2019-10-29 01:44:57
 5  0      0 2613040  28596 491876    0    0     0     3  820 2151 58 42  0  0  0 2019-10-29 01:45:02
 5  0      0 2614164  28604 491940    0    0     0     8  759 2048 58 42  0  0  0 2019-10-29 01:45:07
 3  0      0 2615132  28612 491972    0    0     0     3  716 1860 60 40  0  0  0 2019-10-29 01:45:12
 4  0      0 2613540  28620 492028    0    0     0    54  742 2018 59 41  0  0  0 2019-10-29 01:45:17
 3  0      0 2614888  28628 492076    0    0     0     3  734 1966 56 44  0  0  0 2019-10-29 01:45:22
 5  0      0 2613712  28636 492116    0    0     0     7  795 2177 59 41  0  0  0 2019-10-29 01:45:27
 7  2      0 2615376  28640 492176    0    0     0    12  746 2083 58 42  0  0  0 2019-10-29 01:45:32
 4  0      0 2615432  28644 492232    0    0     0     1  782 2152 59 41  0  0  0 2019-10-29 01:45:37
 5  0      0 2614156  28652 492288    0    0     0    50  807 2190 60 40  0  0  0 2019-10-29 01:45:42
 5  0      0 2615596  28660 492340    0    0     0     6  725 1984 56 44  0  0  0 2019-10-29 01:45:47
 5  0      0 2614220  28668 492388    0    0     0     3  763 2124 57 43  0  0  0 2019-10-29 01:45:52
 3  0      0 2616584  28676 492436    0    0     0     3  832 2284 59 41  0  0  0 2019-10-29 01:45:57
 3  0      0 2615016  28684 492484    0    0     0     3  778 2147 56 44  0  0  0 2019-10-29 01:46:02
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
